ISO,deathsPerM,deaths,popM
AT,62,549,8.9
BE,287,3283,11.4
BG,8,58,7
HR,14,59,4.1
CY,17,15,0.9
CZ,21,223,10.6
DK,74,427,5.8
EE,38,50,1.3
FI,35,193,5.5
FR,223,14497,64.9
DE,72,5913,82.2
GR,13,136,10.7
HU,29,280,9.8
IE,225,1102,4.9
IT,439,26707,60.8
LV,7,13,1.9
LT,15,41,2.8
LU,143,88,0.6
MT,8,4,0.5
NL,261,4518,17.3
PL,15,562,38
PT,90,928,10.3
RO,33,641,19.4
SK,3,18,5.5
SI,40,83,2.1
ES,521,24507,47
SE,222,2274,10.2
CH,194,1665,8.6
GB,317,21092,66.4
BE-BRU,480,580,1.2
BE-VLG,226,1491,6.6
BE-WAL,334,1212,3.6
ES-AN,138,1157,8.4
ES-AR,550,726,1.3
ES-AS,247,253,1
ES-IB,156,179,1.1
ES-CN,61,131,2.2
ES-CB,320,186,0.6
ES-CM,1163,2365,2
ES-CL,704,1690,2.4
ES-CT,741,5685,7.7
ES-VC,238,1189,5
ES-EX,401,428,1.1
ES-GA,150,405,2.7
ES-MD,1198,7986,6.7
ES-MC,86,128,1.5
ES-NC,660,432,0.7
ES-PV,562,1241,2.2
ES-RI,1010,320,0.3
ES-CE,47,4,0.1
ES-ML,23,2,0.1
IT-ABR,225,299,1.3
IT-PUG,99,405,4.1
IT-BAS,43,25,0.6
IT-CAL,42,83,2
IT-CAM,60,352,5.9
IT-EMR,771,3431,4.5
IT-FVG,221,271,1.2
IT-LAZ,67,397,5.9
IT-LIG,710,1128,1.6
IT-LOM,1345,13449,10
IT-MAR,571,884,1.5
IT-MOL,67,21,0.3
IT-PMN,650,2878,4.4
IT-SAR,66,109,1.7
IT-SIC,45,231,5.1
IT-TOS,212,795,3.8
IT-TAA,386,407,1.1
IT-UMB,73,65,0.9
IT-VAO,1037,133,0.1
IT-VEN,273,1344,4.9
FR-ARA,156,1255,8
FR-BFC,292,814,2.8
FR-BRE,61,204,3.3
FR-CVL,143,367,2.6
FR-COR,145,50,0.3
FR-GES,504,2779,5.5
FR-HDF,221,1315,6
FR-IDF,463,5690,12.3
FR-NOR,98,324,3.3
FR-NAQ,50,301,6
FR-OCC,63,373,5.9
FR-PDL,85,323,3.8
FR-PAC,130,656,5.1
GB-ENG,335,18748,56
GB-SCT,230,1249,5.4
GB-WLS,254,796,3.1
GB-NIR,159,299,1.9
DE-BW,117,1269,10.9
DE-BY,131,1681,12.8
DE-BE,36,127,3.5
DE-BB,43,106,2.5
DE-HB,40,27,0.7
DE-HH,79,142,1.8
DE-HE,54,333,6.2
DE-MV,11,17,1.6
DE-NI,50,394,7.9
DE-NW,66,1171,17.9
DE-RP,39,157,4.1
DE-SL,123,123,1
DE-SN,36,148,4.1
DE-ST,17,39,2.2
DE-SH,35,101,2.9
DE-TH,36,78,2.2
